# Wavelength (nm), Re(sigma) (S), Im(sigma) (S)
4.000000000000000000e+02,8.184337590853786912e-21,6.553017177356729507e-19
4.012512512512512330e+02,8.238225691249510503e-21,6.564291337851982582e-19
4.025025025025025229e+02,8.292437041385646216e-21,6.575604309933106128e-19
4.037537537537537560e+02,8.346974028249655993e-21,6.586956294107329097e-19
4.050050050050049890e+02,8.401839060270239915e-21,6.598347492263638879e-19
4.062562562562562789e+02,8.457034567545671749e-21,6.609778107684691253e-19
4.075075075075075119e+02,8.512563002074955682e-21,6.621248345058833007e-19
4.087587587587587450e+02,8.568426837991893008e-21,6.632758410492271886e-19
4.100100100100100349e+02,8.624628571801959480e-21,6.644308511521345730e-19
4.112612612612612679e+02,8.681170722622214487e-21,6.655898857124937982e-19
4.125125125125125010e+02,8.738055832424135243e-21,6.667529657737012602e-19
4.137637637637637908e+02,8.795286466279494848e-21,6.679201125259292465e-19
4.150150150150150239e+02,8.852865212609308288e-21,6.690913473074050423e-19
4.162662662662662569e+02,8.910794683435896046e-21,6.702666916057053483e-19
4.175175175175174900e+02,8.969077514638074331e-21,6.714461670590629275e-19
4.187687687687687799e+02,9.027716366209601332e-21,6.726297954576880823e-19
4.200200200200200129e+02,9.086713922520805778e-21,6.738175987451031313e-19
4.212712712712712460e+02,9.146072892583548251e-21,6.750095990194906566e-19
4.225225225225225358e+02,9.205796010319534828e-21,6.762058185350585064e-19
4.237737737737737689e+02,9.265886034831969496e-21,6.774062797034156798e-19
4.250250250250250019e+02,9.326345750680676255e-21,6.786110050949648699e-19
4.262762762762762918e+02,9.387177968160728522e-21,6.798200174403098376e-19
4.275275275275275249e+02,9.448385523584549714e-21,6.810333396316766513e-19
4.287787787787787579e+02,9.509971279567688154e-21,6.822509947243520679e-19
4.300300300300300478e+02,9.571938125318153438e-21,6.834730059381340467e-19
4.312812812812812808e+02,9.634288976929485794e-21,6.846993966588014266e-19
4.325325325325325139e+02,9.697026777677571982e-21,6.859301904395964109e-19
4.337837837837838038e+02,9.760154498321252865e-21,6.871654110027246737e-19
4.350350350350350368e+02,9.823675137406784345e-21,6.884050822408710674e-19
4.362862862862862698e+02,9.887591721576232912e-21,6.896492282187317955e-19
4.375375375375375597e+02,9.951907305879801298e-21,6.908978731745623796e-19
4.387887887887887928e+02,1.001662497409221363e-20,6.921510415217431507e-19
4.400400400400400258e+02,1.008174783903321423e-20,6.934087578503620754e-19
4.412912912912913157e+02,1.014727904289214403e-20,6.946710469288139518e-19
4.425425425425425487e+02,1.021322175755675393e-20,6.959379337054156863e-19
4.437937937937937818e+02,1.027957918494635010e-20,6.972094433100432384e-19
4.450450450450450717e+02,1.034635455734919282e-20,6.984856010557820464e-19
4.462962962962963047e+02,1.041355113776429635e-20,6.997664324405971933e-19
4.475475475475475378e+02,1.048117222024778342e-20,7.010519631490229292e-19
4.487987987987987708e+02,1.054922113026366021e-20,7.023422190538692379e-19
4.500500500500500607e+02,1.061770122503927836e-20,7.036372262179481439e-19
4.513013013013012937e+02,1.068661589392534842e-20,7.049370108958161017e-19
4.525525525525525836e+02,1.075596855876087349e-20,7.062415995355418063e-19
4.538038038038038167e+02,1.082576267424267049e-20,7.075510187804865233e-19
4.550550550550550497e+02,1.089600172829997558e-20,7.088652954711090702e-19
4.563063063063062827e+02,1.096668924247383726e-20,7.101844566467877464e-19
4.575575575575575726e+02,1.103782877230166748e-20,7.115085295476650847e-19
4.588088088088088057e+02,1.110942390770680152e-20,7.128375416165108039e-19
4.600600600600600387e+02,1.118147827339330016e-20,7.141715205006071976e-19
4.613113113113113286e+02,1.125399552924596677e-20,7.155104940536539753e-19
4.625625625625625617e+02,1.132697937073574357e-20,7.168544903376965996e-19
4.638138138138137947e+02,1.140043352933050192e-20,7.182035376250741720e-19
4.650650650650650846e+02,1.147436177291135921e-20,7.195576644003899480e-19
4.663163163163163176e+02,1.154876790619454171e-20,7.209168993625041930e-19
4.675675675675675507e+02,1.162365577115896967e-20,7.222812714265496683e-19
4.688188188188188406e+02,1.169902924747959303e-20,7.236508097259696498e-19
4.700700700700700736e+02,1.177489225296650193e-20,7.250255436145775176e-19
4.713213213213213066e+02,1.185124874401011750e-20,7.264055026686433088e-19
4.725725725725725397e+02,1.192810271603228974e-20,7.277907166889999141e-19
4.738238238238238296e+02,1.200545820394353739e-20,7.291812157031758525e-19
4.750750750750750626e+02,1.208331928260657262e-20,7.305770299675513506e-19
4.763263263263263525e+02,1.216169006730609253e-20,7.319781899695397463e-19
4.775775775775775855e+02,1.224057471422492769e-20,7.333847264297918126e-19
4.788288288288288186e+02,1.231997742092684270e-20,7.347966703044291616e-19
4.800800800800800516e+02,1.239990242684581418e-20,7.362140527872992203e-19
4.813313313313313415e+02,1.248035401378208111e-20,7.376369053122581311e-19
4.825825825825825746e+02,1.256133650640505024e-20,7.390652595554808087e-19
4.838338338338338644e+02,1.264285427276305673e-20,7.404991474377951672e-19
4.850850850850850975e+02,1.272491172480021142e-20,7.419386011270461026e-19
4.863363363363363305e+02,1.280751331888040133e-20,7.433836530404848982e-19
4.875875875875875636e+02,1.289066355631851973e-20,7.448343358471870366e-19
4.888388388388388535e+02,1.297436698391909916e-20,7.462906824704984200e-19
4.900900900900900865e+02,1.305862819452240280e-20,7.477527260905101899e-19
4.913413413413413764e+02,1.314345182755817299e-20,7.492205001465607991e-19
4.925925925925926094e+02,1.322884256960710302e-20,7.506940383397709206e-19
4.938438438438438425e+02,1.331480515497007426e-20,7.521733746356030089e-19
4.950950950950950755e+02,1.340134436624555300e-20,7.536585432664566824e-19
4.963463463463463654e+02,1.348846503491492270e-20,7.551495787342897222e-19
4.975975975975975985e+02,1.357617204193614886e-20,7.566465158132730627e-19
4.988488488488488315e+02,1.366447031834577059e-20,7.581493895524754413e-19
5.001001001001001214e+02,1.375336484586945043e-20,7.596582352785810783e-19
5.013513513513513544e+02,1.384286065754106461e-20,7.611730885986384606e-19
5.026026026026025875e+02,1.393296283833072919e-20,7.626939854028430214e-19
5.038538538538538205e+02,1.402367652578158775e-20,7.642209618673519832e-19
5.051051051051051104e+02,1.411500691065578334e-20,7.657540544571331933e-19
5.063563563563563434e+02,1.420695923758955151e-20,7.672932999288468926e-19
5.076076076076076333e+02,1.429953880575778651e-20,7.688387353337652334e-19
5.088588588588588664e+02,1.439275096954803552e-20,7.703903980207230922e-19
5.101101101101100994e+02,1.448660113924420078e-20,7.719483256391060543e-19
5.113613613613613325e+02,1.458109478172006997e-20,7.735125561418747976e-19
5.126126126126125655e+02,1.467623742114282832e-20,7.750831277886252991e-19
5.138638638638639122e+02,1.477203463968676009e-20,7.766600791486863080e-19
5.151151151151151453e+02,1.486849207825720866e-20,7.782434491042537964e-19
5.163663663663663783e+02,1.496561543722512622e-20,7.798332768535651815e-19
5.176176176176176114e+02,1.506341047717220703e-20,7.814296019141103313e-19
5.188688688688688444e+02,1.516188301964688109e-20,7.830324641258821500e-19
5.201201201201200774e+02,1.526103894793137899e-20,7.846419036546675104e-19
5.213713713713714242e+02,1.536088420781994301e-20,7.862579609953788238e-19
5.226226226226226572e+02,1.546142480840846739e-20,7.878806769754245138e-19
5.238738738738738903e+02,1.556266682289572135e-20,7.895100927581231122e-19
5.251251251251251233e+02,1.566461638939634728e-20,7.911462498461584739e-19
5.263763763763763563e+02,1.576727971176580575e-20,7.927891900850773616e-19
5.276276276276275894e+02,1.587066306043756222e-20,7.944389556668313276e-19
5.288788788788788224e+02,1.597477277327257562e-20,7.960955891333605803e-19
5.301301301301301692e+02,1.607961525642147400e-20,7.977591333802256139e-19
5.313813813813814022e+02,1.618519698519936603e-20,7.994296316602793796e-19
5.326326326326326353e+02,1.629152450497392046e-20,8.011071275873905888e-19
5.338838838838838683e+02,1.639860443206647261e-20,8.027916651402090033e-19
5.351351351351351013e+02,1.650644345466668758e-20,8.044832886659808946e-19
5.363863863863864481e+02,1.661504833376091273e-20,8.061820428844106297e-19
5.376376376376376811e+02,1.672442590407442377e-20,8.078879728915710796e-19
5.388888888888889142e+02,1.683458307502791689e-20,8.096011241638646792e-19
5.401401401401401472e+02,1.694552683170832481e-20,8.113215425620328281e-19
5.413913913913913802e+02,1.705726423585436037e-20,8.130492743352165218e-19
5.426426426426426133e+02,1.716980242685691068e-20,8.147843661250691745e-19
5.438938938938938463e+02,1.728314862277464320e-20,8.165268649699206727e-19
5.451451451451450794e+02,1.739731012136504629e-20,8.182768183089952577e-19
5.463963963963964261e+02,1.751229430113113607e-20,8.200342739866828535e-19
5.476476476476476591e+02,1.762810862238408824e-20,8.217992802568641270e-19
5.488988988988988922e+02,1.774476062832229750e-20,8.235718857872935202e-19
5.501501501501501252e+02,1.786225794612678332e-20,8.253521396640357254e-19
5.514014014014014720e+02,1.798060828807346263e-20,8.271400913959610948e-19
5.526526526526527050e+02,1.809981945266259940e-20,8.289357909192977688e-19
5.539039039039039380e+02,1.821989932576561165e-20,8.307392886022435076e-19
5.551551551551551711e+02,1.834085588178963316e-20,8.325506352496377082e-19
5.564064064064064041e+02,1.846269718486006151e-20,8.343698821076915850e-19
5.576576576576576372e+02,1.858543139002154397e-20,8.361970808687833500e-19
5.589089089089088702e+02,1.870906674445753345e-20,8.380322836763132893e-19
5.601601601601601033e+02,1.883361158872896242e-20,8.398755431296229741e-19
5.614114114114114500e+02,1.895907435803216709e-20,8.417269122889792777e-19
5.626626626626626830e+02,1.908546358347657333e-20,8.435864446806232977e-19
5.639139139139139161e+02,1.921278789338241241e-20,8.454541943018856258e-19
5.651651651651651491e+02,1.934105601459880036e-20,8.473302156263700842e-19
5.664164164164163822e+02,1.947027677384266851e-20,8.492145636092040038e-19
5.676676676676677289e+02,1.960045909905868070e-20,8.511072936923589904e-19
5.689189189189189619e+02,1.973161202080086534e-20,8.530084618100423732e-19
5.701701701701701950e+02,1.986374467363605858e-20,8.549181243941612606e-19
5.714214214214214280e+02,1.999686629756959508e-20,8.568363383798561221e-19
5.726726726726726611e+02,2.013098623949387205e-20,8.587631612111119851e-19
5.739239239239238941e+02,2.026611395465985914e-20,8.606986508464422397e-19
5.751751751751751272e+02,2.040225900817230009e-20,8.626428657646500577e-19
5.764264264264263602e+02,2.053943107650880504e-20,8.645958649706661752e-19
5.776776776776777069e+02,2.067763994906336906e-20,8.665577080014653500e-19
5.789289289289289400e+02,2.081689552971478025e-20,8.685284549320633212e-19
5.801801801801801730e+02,2.095720783842031774e-20,8.705081663815950451e-19
5.814314314314314061e+02,2.109858701283530532e-20,8.724969035194741075e-19
5.826826826826827528e+02,2.124104330995879149e-20,8.744947280716371665e-19
5.839339339339339858e+02,2.138458710780605109e-20,8.765017023268714027e-19
5.851851851851852189e+02,2.152922890710841408e-20,8.785178891432319105e-19
5.864364364364364519e+02,2.167497933304069832e-20,8.805433519545420966e-19
5.876876876876876850e+02,2.182184913697698056e-20,8.825781547769880646e-19
5.889389389389389180e+02,2.196984919827514214e-20,8.846223622157988949e-19
5.901901901901901510e+02,2.211899052609078794e-20,8.866760394720236076e-19
5.914414414414413841e+02,2.226928426122098738e-20,8.887392523493969099e-19
5.926926926926927308e+02,2.242074167797851111e-20,8.908120672613041291e-19
5.939439439439439639e+02,2.257337418609700309e-20,8.928945512378393610e-19
5.951951951951951969e+02,2.272719333266789435e-20,8.949867719329637657e-19
5.964464464464464299e+02,2.288221080410939850e-20,8.970887976317636278e-19
5.976976976976976630e+02,2.303843842816835647e-20,8.992006972578074086e-19
5.989489489489490097e+02,2.319588817595554116e-20,9.013225403806089169e-19
6.002002002002002428e+02,2.335457216401493681e-20,9.034543972231913993e-19
6.014514514514514758e+02,2.351450265642798595e-20,9.055963386697627560e-19
6.027027027027027088e+02,2.367569206695286725e-20,9.077484362734936016e-19
6.039539539539539419e+02,2.383815296120014938e-20,9.099107622644089555e-19
6.052052052052051749e+02,2.400189805884509469e-20,9.120833895573910585e-19
6.064564564564564080e+02,2.416694023587735301e-20,9.142663917602923530e-19
6.077077077077076410e+02,2.433329252688901459e-20,9.164598431821692186e-19
6.089589589589589878e+02,2.450096812740145547e-20,9.186638188416289522e-19
6.102102102102102208e+02,2.466998039623195026e-20,9.208783944752969269e-19
6.114614614614614538e+02,2.484034285790072952e-20,9.231036465464060464e-19
6.127127127127126869e+02,2.501206920507927300e-20,9.253396522535077266e-19
6.139639639639640336e+02,2.518517330108075080e-20,9.275864895393109508e-19
6.152152152152152667e+02,2.535966918239313875e-20,9.298442370996445850e-19
6.164664664664664997e+02,2.553557106125633244e-20,9.321129743925531594e-19
6.177177177177177327e+02,2.571289332828367483e-20,9.343927816475226510e-19
6.189689689689689658e+02,2.589165055512897206e-20,9.366837398748399252e-19
6.202202202202201988e+02,2.607185749719996020e-20,9.389859308750898813e-19
6.214714714714714319e+02,2.625352909641890614e-20,9.412994372487881844e-19
6.227227227227226649e+02,2.643668048403163662e-20,9.436243424061592109e-19
6.239739739739740116e+02,2.662132698346562426e-20,9.459607305770532402e-19
6.252252252252252447e+02,2.680748411323824714e-20,9.483086868210121344e-19
6.264764764764764777e+02,2.699516758991629910e-20,9.506682970374817751e-19
6.277277277277277108e+02,2.718439333112769279e-20,9.530396479761758770e-19
6.289789789789789438e+02,2.737517745862631541e-20,9.554228272475929139e-19
6.302302302302302905e+02,2.756753630141144536e-20,9.578179233336903927e-19
6.314814814814815236e+02,2.776148639890228062e-20,9.602250255987143574e-19
6.327327327327327566e+02,2.795704450416933628e-20,9.626442243001954863e-19
6.339839839839839897e+02,2.815422758722337313e-20,9.650756106001048486e-19
6.352352352352352227e+02,2.835305283836327776e-20,9.675192765761799130e-19
6.364864864864864558e+02,2.855353767158392948e-20,9.699753152334186903e-19
6.377377377377376888e+02,2.875569972804557043e-20,9.724438205157489433e-19
6.389889889889889218e+02,2.895955687960554587e-20,9.749248873178707292e-19
6.402402402402402686e+02,2.916512723241403947e-20,9.774186114972801738e-19
6.414914914914915016e+02,2.937242913057496517e-20,9.799250898864762073e-19
6.427427427427427347e+02,2.958148115987341802e-20,9.824444203053512278e-19
6.439939939939939677e+02,2.979230215157091779e-20,9.849767015737703121e-19
6.452452452452453144e+02,3.000491118627014844e-20,9.875220335243451392e-19
6.464964964964965475e+02,3.021932759785030114e-20,9.900805170154010838e-19
6.477477477477477805e+02,3.043557097747481405e-20,9.926522539441444141e-19
6.489989989989990136e+02,3.065366117767280306e-20,9.952373472600330606e-19
6.502502502502502466e+02,3.087361831649574227e-20,9.978359009783513405e-19
6.515015015015014797e+02,3.109546278175120566e-20,1.000448020193998846e-18
6.527527527527527127e+02,3.131921523531496403e-20,1.003073811095487717e-18
6.540040040040039457e+02,3.154489661752337524e-20,1.005713380979162170e-18
6.552552552552552925e+02,3.177252815164763238e-20,1.008366838263638730e-18
6.565065065065065255e+02,3.200213134845163349e-20,1.011034292504470654e-18
6.577577577577577586e+02,3.223372801083517598e-20,1.013715854409041524e-18
6.590090090090089916e+02,3.246734023856470860e-20,1.016411635851698635e-18
6.602602602602603383e+02,3.270299043309277256e-20,1.019121749889116515e-18
6.615115115115115714e+02,3.294070130246874366e-20,1.021846310775908522e-18
6.627627627627628044e+02,3.318049586634251269e-20,1.024585433980484558e-18
6.640140140140140375e+02,3.342239746106315021e-20,1.027339236201160321e-18
6.652652652652652705e+02,3.366642974487463222e-20,1.030107835382520586e-18
6.665165165165165035e+02,3.391261670321069702e-20,1.032891350732048258e-18
6.677677677677677366e+02,3.416098265409117454e-20,1.035689902737015547e-18
6.690190190190189696e+02,3.441155225362167190e-20,1.038503613181647476e-18
6.702702702702702027e+02,3.466435050159923924e-20,1.041332605164561944e-18
6.715215215215215494e+02,3.491940274722608631e-20,1.044177003116489818e-18
6.727727727727727824e+02,3.517673469493370291e-20,1.047036932818280461e-18
6.740240240240240155e+02,3.543637241032034449e-20,1.049912521419204798e-18
6.752752752752752485e+02,3.569834232620349564e-20,1.052803897455547097e-18
6.765265265265265953e+02,3.596267124879056170e-20,1.055711190869507001e-18
6.777777777777778283e+02,3.622938636397038837e-20,1.058634533028406829e-18
6.790290290290290613e+02,3.649851524372780010e-20,1.061574056744213769e-18
6.802802802802802944e+02,3.677008585268453962e-20,1.064529896293384079e-18
6.815315315315315274e+02,3.704412655476889581e-20,1.067502187437032580e-18
6.827827827827827605e+02,3.732066612001737804e-20,1.070491067441435915e-18
6.840340340340339935e+02,3.759973373151107322e-20,1.073496675098875928e-18
6.852852852852852266e+02,3.788135899244994764e-20,1.076519150748826814e-18
6.865365365365364596e+02,3.816557193336812079e-20,1.079558636299497808e-18
6.877877877877878063e+02,3.845240301949328303e-20,1.082615275249733697e-18
6.890390390390390394e+02,3.874188315825368165e-20,1.085689212711281465e-18
6.902902902902902724e+02,3.903404370693599145e-20,1.088780595431432294e-18
6.915415415415416192e+02,3.932891648049744633e-20,1.091889571816043937e-18
6.927927927927928522e+02,3.962653375953598740e-20,1.095016291952950783e-18
6.940440440440440852e+02,3.992692829842155726e-20,1.098160907635769119e-18
6.952952952952953183e+02,4.023013333359333722e-20,1.101323572388110504e-18
6.965465465465465513e+02,4.053618259202547329e-20,1.104504441488203429e-18
6.977977977977977844e+02,4.084511029986596137e-20,1.107703671993933493e-18
6.990490490490490174e+02,4.115695119125294659e-20,1.110921422768317291e-18
7.003003003003002505e+02,4.147174051731179540e-20,1.114157854505409251e-18
7.015515515515514835e+02,4.178951405533795359e-20,1.117413129756654716e-18
7.028028028028028302e+02,4.211030811816950842e-20,1.120687412957699463e-18
7.040540540540540633e+02,4.243415956375401092e-20,1.123980870455659717e-18
7.053053053053052963e+02,4.276110580491436709e-20,1.127293670536868830e-18
7.065565565565565294e+02,4.309118481931835407e-20,1.130625983455104482e-18
7.078078078078078761e+02,4.342443515965650992e-20,1.133977981460309110e-18
7.090590590590591091e+02,4.376089596403357284e-20,1.137349838827811852e-18
7.103103103103103422e+02,4.410060696657844134e-20,1.140741731888063940e-18
7.115615615615615752e+02,4.444360850827816806e-20,1.144153839056897759e-18
7.128128128128128083e+02,4.478994154804098294e-20,1.147586340866319381e-18
7.140640640640640413e+02,4.513964767399400284e-20,1.151039419995844413e-18
7.153153153153152743e+02,4.549276911502182093e-20,1.154513261304392934e-18
7.165665665665665074e+02,4.584934875255071227e-20,1.158008051862747771e-18
7.178178178178177404e+02,4.620943013258602096e-20,1.161523980986599030e-18
7.190690690690690872e+02,4.657305747800717057e-20,1.165061240270171983e-18
7.203203203203203202e+02,4.694027570112796528e-20,1.168620023620462596e-18
7.215715715715715532e+02,4.731113041652823056e-20,1.172200527292091659e-18
7.228228228228229000e+02,4.768566795416316094e-20,1.175802949922783497e-18
7.240740740740741330e+02,4.806393537275793399e-20,1.179427492569490061e-18
7.253253253253253661e+02,4.844598047349411487e-20,1.183074358745171374e-18
7.265765765765765991e+02,4.883185181399518177e-20,1.186743754456242543e-18
7.278278278278278322e+02,4.922159872261897845e-20,1.190435888240709098e-18
7.290790790790790652e+02,4.961527131306455068e-20,1.194150971206999904e-18
7.303303303303302982e+02,5.001292049930111865e-20,1.197889217073511121e-18
7.315815815815815313e+02,5.041459801082745462e-20,1.201650842208880294e-18
7.328328328328327643e+02,5.082035640827035665e-20,1.205436065673007883e-18
7.340840840840841111e+02,5.123024909933013885e-20,1.209245109258836469e-18
7.353353353353353441e+02,5.164433035508224408e-20,1.213078197534903784e-18
7.365865865865865771e+02,5.206265532664463890e-20,1.216935557888698482e-18
7.378378378378378102e+02,5.248528006221935657e-20,1.220817420570817277e-18
7.390890890890891569e+02,5.291226152451830512e-20,1.224724018739956404e-18
7.403403403403403900e+02,5.334365760858358421e-20,1.228655588508748173e-18
7.415915915915916230e+02,5.377952716001171755e-20,1.232612368990462650e-18
7.428428428428428560e+02,5.421992999359311592e-20,1.236594602346595654e-18
7.440940940940940891e+02,5.466492691237656876e-20,1.240602533835355584e-18
7.453453453453453221e+02,5.511457972717097005e-20,1.244636411861081241e-18
7.465965965965965552e+02,5.556895127649470857e-20,1.248696488024595842e-18
7.478478478478477882e+02,5.602810544698543962e-20,1.252783017174535176e-18
7.490990990990990213e+02,5.649210719428111381e-20,1.256896257459652003e-18
7.503503503503503680e+02,5.696102256438641232e-20,1.261036470382142749e-18
7.516016016016016010e+02,5.743491871553538612e-20,1.265203920851990699e-18
7.528528528528528341e+02,5.791386394056554980e-20,1.269398877242375576e-18
7.541041041041041808e+02,5.839792768981563589e-20,1.273621611446158376e-18
7.553553553553554138e+02,5.888718059456129739e-20,1.277872398933464358e-18
7.566066066066066469e+02,5.938169449100409402e-20,1.282151518810402721e-18
7.578578578578578799e+02,5.988154244482719523e-20,1.286459253878932599e-18
7.591091091091091130e+02,6.038679877633445956e-20,1.290795890697912923e-18
7.603603603603603460e+02,6.089753908618768366e-20,1.295161719645357906e-18
7.616116116116115791e+02,6.141384028175937864e-20,1.299557034981931688e-18
7.628628628628628121e+02,6.193578060411645686e-20,1.303982134915698868e-18
7.641141141141140452e+02,6.246343965565328222e-20,1.308437321668172727e-18
7.653653653653653919e+02,6.299689842839210325e-20,1.312922901541691582e-18
7.666166166166166249e+02,6.353623933296691456e-20,1.317439184988130570e-18
7.678678678678678580e+02,6.408154622831413448e-20,1.321986486679025528e-18
7.691191191191190910e+02,6.463290445208417039e-20,1.326565125577087203e-18
7.703703703703704377e+02,6.519040085179906522e-20,1.331175425009188796e-18
7.716216216216216708e+02,6.575412381677301681e-20,1.335817712740820872e-18
7.728728728728729038e+02,6.632416331082041005e-20,1.340492321052081431e-18
7.741241241241241369e+02,6.690061090577116275e-20,1.345199586815214619e-18
7.753753753753753699e+02,6.748355981581698988e-20,1.349939851573741601e-18
7.766266266266266030e+02,6.807310493271274460e-20,1.354713461623229249e-18
7.778778778778778360e+02,6.866934286185610378e-20,1.359520768093724955e-18
7.791291291291290690e+02,6.927237195927128491e-20,1.364362127033904162e-18
7.803803803803803021e+02,6.988229236952268635e-20,1.369237899496970892e-18
7.816316316316316488e+02,7.049920606458463142e-20,1.374148451628352841e-18
7.828828828828828819e+02,7.112321688369490152e-20,1.379094154755228239e-18
7.841341341341341149e+02,7.175443057422182602e-20,1.384075385477950121e-18
7.853853853853854616e+02,7.239295483357202439e-20,1.389092525763385761e-18
7.866366366366366947e+02,7.303889935217059024e-20,1.394145963040237292e-18
7.878878878878879277e+02,7.369237585754577226e-20,1.399236090296394197e-18
7.891391391391391608e+02,7.435349815954788335e-20,1.404363306178346343e-18
7.903903903903903938e+02,7.502238219673930761e-20,1.409528015092739806e-18
7.916416416416416268e+02,7.569914608398697371e-20,1.414730627310098797e-18
7.928928928928928599e+02,7.638391016129525957e-20,1.419971559070789550e-18
7.941441441441440929e+02,7.707679704391494596e-20,1.425251232693268568e-18
7.953953953953953260e+02,7.777793167376729142e-20,1.430570076684683578e-18
7.966466466466466727e+02,7.848744137222126550e-20,1.435928525853874581e-18
7.978978978978979058e+02,7.920545589426613035e-20,1.441327021426844522e-18
7.991491491491491388e+02,7.993210748412091041e-20,1.446766011164761983e-18
8.004004004004003718e+02,8.066753093232374672e-20,1.452245949484552900e-18
8.016516516516517186e+02,8.141186363434714147e-20,1.457767297582156997e-18
8.029029029029029516e+02,8.216524565078461689e-20,1.463330523558507487e-18
8.041541541541541847e+02,8.292781976915840533e-20,1.468936102548316082e-18
8.054054054054054177e+02,8.369973156739588541e-20,1.474584516851719163e-18
8.066566566566566507e+02,8.448112947902890693e-20,1.480276256068880059e-18
8.079079079079078838e+02,8.527216486016688528e-20,1.486011817237604450e-18
8.091591591591591168e+02,8.607299205829997457e-20,1.491791704974054005e-18
8.104104104104103499e+02,8.688376848299068740e-20,1.497616431616653216e-18
8.116616616616615829e+02,8.770465467851019826e-20,1.503486517373245856e-18
8.129129129129129296e+02,8.853581439848330757e-20,1.509402490471612562e-18
8.141641641641641627e+02,8.937741468260406939e-20,1.515364887313424288e-18
8.154154154154153957e+02,9.022962593548782908e-20,1.521374252631723087e-18
8.166666666666667425e+02,9.109262200772854704e-20,1.527431139652035016e-18
