File,Design Width (m),Design Thickness (m),Confinement Factor (2D)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.4823317836200754
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.47414555053451707
E_field_data_1.25e-006 7.15e-007.mat,1.25e-06,7.15e-07,0.4879384353101814
E_field_data_1.23e-006 7.2e-007.mat,1.23e-06,7.2e-07,0.47740215688064236
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.4830696238264982
E_field_data_1.23e-006 7.05e-007.mat,1.23e-06,7.05e-07,0.48215988148947814
E_field_data_1.23e-006 6.95e-007.mat,1.23e-06,6.95e-07,0.48186587951734744
E_field_data_1.2e-006 7.3e-007.mat,1.2e-06,7.3e-07,0.4836282722922969
E_field_data_1.2e-006 7.2e-007.mat,1.2e-06,7.2e-07,0.47776300790034787
E_field_data_1.19e-006 7.25e-007.mat,1.19e-06,7.25e-07,0.4828645234643462
E_field_data_1.24e-006 7.25e-007.mat,1.24e-06,7.25e-07,0.4824423899338918
E_field_data_1.2e-006 6.95e-007.mat,1.2e-06,6.95e-07,0.48023612268856164
E_field_data_1.22e-006 7.3e-007.mat,1.22e-06,7.3e-07,0.4833161471697032
E_field_data_1.22e-006 7.2e-007.mat,1.22e-06,7.2e-07,0.4773412370021854
E_field_data_1.2e-006 7.05e-007.mat,1.2e-06,7.05e-07,0.48155737056727105
E_field_data_1.21e-006 7e-007.mat,1.21e-06,7e-07,0.48136661995021135
E_field_data_1.22e-006 7.25e-007.mat,1.22e-06,7.25e-07,0.48279926679785673
E_field_data_1.24e-006 7.2e-007.mat,1.24e-06,7.2e-07,0.47766480700082947
E_field_data_1.24e-006 7.3e-007.mat,1.24e-06,7.3e-07,0.48296055658263287
E_field_data_1.25e-006 7.05e-007.mat,1.25e-06,7.05e-07,0.4831549153934233
E_field_data_1.25e-006 6.95e-007.mat,1.25e-06,6.95e-07,0.4829331298040097
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.4835949745153596
E_field_data_1.21e-006 7.2e-007.mat,1.21e-06,7.2e-07,0.4775067886214718
E_field_data_1.23e-006 7.15e-007.mat,1.23e-06,7.15e-07,0.48726167961942857
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.4831261120626696
E_field_data_1.25e-006 7.2e-007.mat,1.25e-06,7.2e-07,0.47808021265104095
E_field_data_1.2e-006 7.15e-007.mat,1.2e-06,7.15e-07,0.4875830584148205
E_field_data_1.21e-006 7.25e-007.mat,1.21e-06,7.25e-07,0.4830796020505452
E_field_data_1.22e-006 7.15e-007.mat,1.22e-06,7.15e-07,0.4871681196153116
E_field_data_1.22e-006 6.9e-007.mat,1.22e-06,6.9e-07,0.4877855094943288
E_field_data_1.22e-006 7.1e-007.mat,1.22e-06,7.1e-07,0.4823110082917392
E_field_data_1.23e-006 7e-007.mat,1.23e-06,7e-07,0.48243040482313315
E_field_data_1.2e-006 7.1e-007.mat,1.2e-06,7.1e-07,0.482112456136319
E_field_data_1.2e-006 6.9e-007.mat,1.2e-06,6.9e-07,0.47802937680644514
E_field_data_1.19e-006 7.05e-007.mat,1.19e-06,7.05e-07,0.4817776699848326
E_field_data_1.23e-006 6.9e-007.mat,1.23e-06,6.9e-07,0.4878279259135897
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.48270952323334043
E_field_data_1.23e-006 7.25e-007.mat,1.23e-06,7.25e-07,0.48255149977255624
E_field_data_1.19e-006 6.95e-007.mat,1.19e-06,6.95e-07,0.47968731981775253
E_field_data_1.24e-006 6.95e-007.mat,1.24e-06,6.95e-07,0.48234854427939844
E_field_data_1.21e-006 7.15e-007.mat,1.21e-06,7.15e-07,0.48734625862702124
E_field_data_1.2e-006 7.25e-007.mat,1.2e-06,7.25e-07,0.48311257844923583
E_field_data_1.24e-006 7e-007.mat,1.24e-06,7e-07,0.4829093219794261
E_field_data_1.19e-006 7.2e-007.mat,1.19e-06,7.2e-07,0.47799312280607287
E_field_data_1.19e-006 7e-007.mat,1.19e-06,7e-07,0.48026751557407465
E_field_data_1.19e-006 7.3e-007.mat,1.19e-06,7.3e-07,0.4833808388156564
E_field_data_1.24e-006 7.05e-007.mat,1.24e-06,7.05e-07,0.4826807178911835
E_field_data_1.22e-006 6.95e-007.mat,1.22e-06,6.95e-07,0.481409720404926
E_field_data_1.22e-006 7.05e-007.mat,1.22e-06,7.05e-07,0.48175818761190936
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.4834903243189325
E_field_data_1.25e-006 7.25e-007.mat,1.25e-06,7.25e-07,0.4826087727261698
E_field_data_1.25e-006 7.1e-007.mat,1.25e-06,7.1e-07,0.48369699008301964
E_field_data_1.25e-006 6.9e-007.mat,1.25e-06,6.9e-07,0.4889362982299239
E_field_data_1.19e-006 7.15e-007.mat,1.19e-06,7.15e-07,0.4878306710089488
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.4808126010396554
E_field_data_1.21e-006 6.9e-007.mat,1.21e-06,6.9e-07,0.487247645810869
E_field_data_1.21e-006 7.1e-007.mat,1.21e-06,7.1e-07,0.48212202361880924
E_field_data_1.22e-006 7e-007.mat,1.22e-06,7e-07,0.48197820517129397
E_field_data_1.21e-006 7.05e-007.mat,1.21e-06,7.05e-07,0.48156731699156313
E_field_data_1.24e-006 7.1e-007.mat,1.24e-06,7.1e-07,0.48322654583807745
E_field_data_1.24e-006 6.9e-007.mat,1.24e-06,6.9e-07,0.4886616128555825
E_field_data_1.24e-006 7.15e-007.mat,1.24e-06,7.15e-07,0.48753676782825256
E_field_data_1.21e-006 6.95e-007.mat,1.21e-06,6.95e-07,0.48079413899821105
